No;Time;DC/AC;Value;Unit;Auto
255;17:44:13;DC;7.064;mA;AUTO
256;17:44:14;DC;6.932;mA;AUTO
257;17:44:14;DC;6.775;mA;AUTO
258;17:44:15;DC;6.774;mA;AUTO
259;17:44:16;DC;6.773;mA;AUTO
260;17:44:16;DC;7.062;mA;AUTO
261;17:44:17;DC;7.063;mA;AUTO
262;17:44:18;DC;6.779;mA;AUTO
263;17:44:18;DC;6.777;mA;AUTO
264;17:44:19;DC;6.775;mA;AUTO
265;17:44:20;DC;6.774;mA;AUTO
266;17:44:20;DC;7.064;mA;AUTO
267;17:44:21;DC;7.064;mA;AUTO
268;17:44:22;DC;6.775;mA;AUTO
269;17:44:22;DC;6.774;mA;AUTO
270;17:44:23;DC;6.773;mA;AUTO
271;17:44:24;DC;6.91;mA;AUTO
272;17:44:24;DC;7.064;mA;AUTO
273;17:44:25;DC;7.064;mA;AUTO
274;17:44:26;DC;6.775;mA;AUTO
275;17:44:26;DC;6.774;mA;AUTO
276;17:44:27;DC;6.773;mA;AUTO
277;17:44:28;DC;7.06;mA;AUTO
278;17:44:28;DC;7.061;mA;AUTO
279;17:44:29;DC;6.847;mA;AUTO
280;17:44:30;DC;6.823;mA;AUTO
281;17:44:30;DC;6.807;mA;AUTO
282;17:44:31;DC;6.796;mA;AUTO
283;17:44:32;DC;7.064;mA;AUTO
284;17:44:32;DC;7.064;mA;AUTO
285;17:44:33;DC;6.777;mA;AUTO
286;17:44:33;DC;6.776;mA;AUTO
287;17:44:34;DC;6.775;mA;AUTO
288;17:44:35;DC;6.774;mA;AUTO
289;17:44:35;DC;7.064;mA;AUTO
290;17:44:36;DC;7.064;mA;AUTO
291;17:44:37;DC;6.775;mA;AUTO
292;17:44:37;DC;6.775;mA;AUTO
293;17:44:38;DC;6.774;mA;AUTO
294;17:44:39;DC;7.018;mA;AUTO
295;17:44:39;DC;49.12;mA;AUTO
296;17:44:40;DC;49.2;mA;AUTO
297;17:44:41;DC;49.28;mA;AUTO
298;17:44:41;DC;49.34;mA;AUTO
299;17:44:42;DC;49.38;mA;AUTO
300;17:44:43;DC;49.42;mA;AUTO
301;17:44:43;DC;49.44;mA;AUTO
302;17:44:44;DC;49.45;mA;AUTO
303;17:44:45;DC;6.777;mA;AUTO
304;17:44:45;DC;6.776;mA;AUTO
305;17:44:46;DC;6.775;mA;AUTO
306;17:44:47;DC;6.774;mA;AUTO
307;17:44:47;DC;7.062;mA;AUTO
308;17:44:48;DC;7.062;mA;AUTO
309;17:44:49;DC;7.062;mA;AUTO
310;17:44:49;DC;6.775;mA;AUTO
311;17:44:50;DC;6.774;mA;AUTO
312;17:44:51;DC;6.773;mA;AUTO
313;17:44:51;DC;6.773;mA;AUTO
314;17:44:52;DC;7.064;mA;AUTO
315;17:44:53;DC;7.064;mA;AUTO
316;17:44:53;DC;6.775;mA;AUTO
317;17:44:54;DC;6.775;mA;AUTO
318;17:44:55;DC;6.774;mA;AUTO
319;17:44:55;DC;6.773;mA;AUTO
320;17:44:56;DC;7.064;mA;AUTO
321;17:44:57;DC;7.064;mA;AUTO
322;17:44:57;DC;6.781;mA;AUTO
323;17:44:58;DC;6.779;mA;AUTO
324;17:44:59;DC;6.777;mA;AUTO
325;17:44:59;DC;6.775;mA;AUTO
326;17:45:00;DC;7.064;mA;AUTO
327;17:45:01;DC;7.064;mA;AUTO
328;17:45:01;DC;6.779;mA;AUTO
329;17:45:02;DC;6.778;mA;AUTO
330;17:45:03;DC;6.777;mA;AUTO
331;17:45:03;DC;6.775;mA;AUTO
332;17:45:04;DC;7.064;mA;AUTO
333;17:45:04;DC;7.064;mA;AUTO
334;17:45:05;DC;6.779;mA;AUTO
335;17:45:06;DC;6.777;mA;AUTO
336;17:45:06;DC;6.775;mA;AUTO
337;17:45:07;DC;6.774;mA;AUTO
338;17:45:08;DC;7.064;mA;AUTO
