No;Time;DC/AC;Value;Unit;Auto
198;17:49:39;DC;21.81;mA;AUTO
199;17:49:40;DC;21.813;mA;AUTO
200;17:49:40;DC;21.821;mA;AUTO
201;17:49:41;DC;21.678;mA;AUTO
202;17:49:42;DC;21.695;mA;AUTO
203;17:49:42;DC;21.704;mA;AUTO
204;17:49:43;DC;4.762;mA;AUTO
205;17:49:44;DC;4.762;mA;AUTO
206;17:49:44;DC;4.762;mA;AUTO
207;17:49:45;DC;4.762;mA;AUTO
208;17:49:45;DC;4.762;mA;AUTO
209;17:49:46;DC;4.762;mA;AUTO
210;17:49:47;DC;4.762;mA;AUTO
211;17:49:47;DC;4.762;mA;AUTO
212;17:49:48;DC;4.762;mA;AUTO
213;17:49:49;DC;4.762;mA;AUTO
214;17:49:49;DC;4.762;mA;AUTO
215;17:49:50;DC;4.762;mA;AUTO
216;17:49:51;DC;4.762;mA;AUTO
217;17:49:51;DC;4.762;mA;AUTO
218;17:49:52;DC;4.762;mA;AUTO
219;17:49:53;DC;4.762;mA;AUTO
220;17:49:53;DC;4.761;mA;AUTO
221;17:49:54;DC;4.761;mA;AUTO
222;17:49:55;DC;4.761;mA;AUTO
223;17:49:55;DC;4.761;mA;AUTO
224;17:49:56;DC;4.761;mA;AUTO
225;17:49:57;DC;4.761;mA;AUTO
226;17:49:57;DC;4.76;mA;AUTO
227;17:49:58;DC;4.76;mA;AUTO
228;17:49:59;DC;4.76;mA;AUTO
229;17:49:59;DC;4.76;mA;AUTO
230;17:50:00;DC;4.76;mA;AUTO
231;17:50:01;DC;4.76;mA;AUTO
232;17:50:01;DC;4.76;mA;AUTO
233;17:50:02;DC;4.76;mA;AUTO
234;17:50:03;DC;4.76;mA;AUTO
235;17:50:03;DC;4.76;mA;AUTO
236;17:50:04;DC;4.76;mA;AUTO
237;17:50:05;DC;4.76;mA;AUTO
238;17:50:05;DC;4.76;mA;AUTO
239;17:50:06;DC;4.76;mA;AUTO
240;17:50:07;DC;4.76;mA;AUTO
241;17:50:07;DC;4.76;mA;AUTO
242;17:50:08;DC;4.76;mA;AUTO
243;17:50:09;DC;4.76;mA;AUTO
244;17:50:09;DC;4.76;mA;AUTO
245;17:50:10;DC;4.76;mA;AUTO
246;17:50:11;DC;4.76;mA;AUTO
